D, 3096, 255
B, 3108, 2898
P, 3108, 1
D, 3108, 21
V, 3110, 2879
H, 3110, 1
C, 3110, 1376
B, 3116, 2898
P, 3116, 0
D, 3116, 255
V, 3118, 2879
H, 3118, 1
C, 3118, 1426
B, 3120, 2898
P, 3120, 0
D, 3120, 255
V, 3142, 2879
H, 3142, 1
C, 3142, 1426
B, 3144, 2898
P, 3144, 0
D, 3144, 255
V, 3166, 2879
H, 3166, 1
C, 3166, 1426
B, 3168, 2898
P, 3168, 0
D, 3168, 255
V, 3190, 2879
H, 3190, 1
C, 3190, 1426
B, 3192, 2898
P, 3192, 0
D, 3192, 255
V, 3214, 2879
H, 3214, 1
