3e-09	3e-08	2000	4000	2000	1.5e-12
3	-0.0107254	0.003	0.00300001	1.19833e-08	0.00300001	1.30298e-09
4	-0.0143399	0.004	0.00400001	1.18683e-08	0.00400001	2.03056e-09
5	-0.0191724	0.005	0.00500001	1.17707e-08	0.00500001	2.60828e-09
6	-0.0256335	0.006	0.00600001	1.16873e-08	0.00600001	3.0384e-09
7	-0.034272	0.007	0.00700001	1.16149e-08	0.00700001	3.32964e-09
8	-0.0458217	0.008	0.00800001	1.1551e-08	0.00800001	3.51854e-09
9	-0.0612636	0.009	0.00900001	1.14946e-08	0.00900001	3.64527e-09
10	-0.0819094	0.01	0.01	1.14467e-08	0.01	3.73546e-09
11	-0.109513	0.011	0.011	1.14082e-08	0.011	3.80254e-09
12	-0.146419	0.012	0.012	1.13782e-08	0.012	3.8542e-09
13	-0.195762	0.013	0.013	1.13548e-08	0.013	3.89528e-09
14	-0.261734	0.014	0.014	1.13351e-08	0.014	3.92766e-09
15	-0.349938	0.015	0.015	1.13159e-08	0.015	3.95161e-09
16	-0.467867	0.016	0.016	1.12954e-08	0.016	3.96733e-09
17	-0.625538	0.017	0.017	1.12727e-08	0.017	3.97541e-09
18	-0.836344	0.018	0.018	1.12484e-08	0.018	3.9771e-09
19	-1.11819	0.019	0.019	1.12271e-08	0.019	3.9783e-09
20	-1.49502	0.02	0.02	1.12753e-08	0.02	4.0459e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.40545e-08	0.00100001	3.23774e-09
2	-0.008022	0.002	0.00200001	1.39271e-08	0.00200001	3.96109e-09
3	-0.0107254	0.003	0.00300001	1.3819e-08	0.00300001	4.57201e-09
4	-0.0143399	0.004	0.00400001	1.37266e-08	0.00400001	5.07002e-09
5	-0.0191724	0.005	0.00500001	1.36468e-08	0.00500001	5.44689e-09
6	-0.0256335	0.006	0.00600001	1.35777e-08	0.00600001	5.70872e-09
7	-0.034272	0.007	0.00700001	1.35181e-08	0.00700001	5.88869e-09
8	-0.0458217	0.008	0.00800001	1.34674e-08	0.00800001	6.01958e-09
9	-0.0612636	0.009	0.00900001	1.34244e-08	0.00900001	6.11972e-09
10	-0.0819094	0.01	0.01	1.33874e-08	0.01	6.19698e-09
11	-0.109513	0.011	0.011	1.33539e-08	0.011	6.25489e-09
12	-0.146419	0.012	0.012	1.33212e-08	0.012	6.29586e-09
13	-0.195762	0.013	0.013	1.32875e-08	0.013	6.3222e-09
14	-0.261734	0.014	0.014	1.32515e-08	0.014	6.33614e-09
15	-0.349938	0.015	0.015	1.32134e-08	0.015	6.34008e-09
16	-0.467867	0.016	0.016	1.31737e-08	0.016	6.33628e-09
17	-0.625538	0.017	0.017	1.31337e-08	0.017	6.32705e-09
18	-0.836344	0.018	0.018	1.30945e-08	0.018	6.31455e-09
19	-1.11819	0.019	0.019	1.30586e-08	0.019	6.30136e-09
20	-1.49502	0.02	0.02	1.30491e-08	0.02	6.31162e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100002	1.68785e-08	0	0.00100002
2	-0.008022	0.002	0.00200001	1.44219e-08	0	0.00200001
3	-0.0107254	0.003	0.00300001	1.27356e-08	0.00300001	2.82884e-12
4	-0.0143399	0.004	0.00400001	1.25314e-08	0.00400001	1.05608e-09
5	-0.0191724	0.005	0.00500001	1.24395e-08	0.00500001	1.89825e-09
6	-0.0256335	0.006	0.00600001	1.23596e-08	0.00600001	2.46551e-09
7	-0.034272	0.007	0.00700001	1.22888e-08	0.00700001	2.80746e-09
8	-0.0458217	0.008	0.00800001	1.22266e-08	0.00800001	3.01698e-09
9	-0.0612636	0.009	0.00900001	1.21738e-08	0.00900001	3.1591e-09
10	-0.0819094	0.01	0.01	1.21319e-08	0.01	3.2634e-09
11	-0.109513	0.011	0.011	1.21004e-08	0.011	3.34237e-09
12	-0.146419	0.012	0.012	1.20769e-08	0.012	3.40353e-09
13	-0.195762	0.013	0.013	1.20576e-08	0.013	3.4512e-09
14	-0.261734	0.014	0.014	1.20389e-08	0.014	3.48696e-09
15	-0.349938	0.015	0.015	1.20182e-08	0.015	3.51165e-09
16	-0.467867	0.016	0.016	1.19943e-08	0.016	3.52603e-09
17	-0.625538	0.017	0.017	1.19672e-08	0.017	3.53158e-09
18	-0.836344	0.018	0.018	1.19391e-08	0.018	3.5311e-09
19	-1.11819	0.019	0.019	1.19223e-08	0.019	3.538e-09
20	-1.49502	0.02	0.02	1.20792e-08	0.02	3.71529e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.44354e-08	0.00100001	4.08216e-11
2	-0.008022	0.002	0.00200001	1.42747e-08	0.00200001	1.39011e-09
3	-0.0107254	0.003	0.00300001	1.41626e-08	0.00300001	2.46308e-09
4	-0.0143399	0.004	0.00400001	1.40662e-08	0.00400001	3.28476e-09
5	-0.0191724	0.005	0.00500001	1.39816e-08	0.00500001	3.86423e-09
6	-0.0256335	0.006	0.00600001	1.39075e-08	0.00600001	4.22667e-09
7	-0.034272	0.007	0.00700001	1.3844e-08	0.00700001	4.45335e-09
8	-0.0458217	0.008	0.00800001	1.37912e-08	0.00800001	4.61091e-09
9	-0.0612636	0.009	0.00900001	1.37483e-08	0.00900001	4.72892e-09
10	-0.0819094	0.01	0.01	1.37135e-08	0.01	4.81866e-09
11	-0.109513	0.011	0.011	1.36836e-08	0.011	4.88577e-09
12	-0.146419	0.012	0.012	1.36552e-08	0.012	4.93433e-09
13	-0.195762	0.013	0.013	1.36253e-08	0.013	4.96697e-09
14	-0.261734	0.014	0.014	1.35925e-08	0.014	4.98601e-09
15	-0.349938	0.015	0.015	1.35567e-08	0.015	4.99398e-09
16	-0.467867	0.016	0.016	1.35188e-08	0.016	4.99344e-09
17	-0.625538	0.017	0.017	1.34801e-08	0.017	4.9868e-09
18	-0.836344	0.018	0.018	1.3442e-08	0.018	4.97631e-09
19	-1.11819	0.019	0.019	1.34064e-08	0.019	4.96426e-09
20	-1.49502	0.02	0.02	1.33955e-08	0.02	4.97389e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.24423e-08	0.00100001	2.77928e-09
2	-0.008022	0.002	0.00200001	1.2338e-08	0.00200001	3.37238e-09
3	-0.0107254	0.003	0.00300001	1.22476e-08	0.00300001	3.87699e-09
4	-0.0143399	0.004	0.00400001	1.21682e-08	0.00400001	4.29112e-09
5	-0.0191724	0.005	0.00500001	1.20969e-08	0.00500001	4.60806e-09
6	-0.0256335	0.006	0.00600001	1.20328e-08	0.00600001	4.83263e-09
7	-0.034272	0.007	0.00700001	1.19763e-08	0.00700001	4.98906e-09
8	-0.0458217	0.008	0.00800001	1.19287e-08	0.00800001	5.10386e-09
9	-0.0612636	0.009	0.00900001	1.18912e-08	0.00900001	5.19457e-09
10	-0.0819094	0.01	0.01	1.18628e-08	0.01	5.26883e-09
